BusinessEntityID,Name,SquareFeet,NumberEmployees,AnnualRevenue
1822,Gift and Toy Store,36000,37,150000.00
1824,Major Sporting Goods,40000,36,150000.00
1826,Executive Discount Store,39000,35,150000.00
1828,Major Cycling,77000,79,300000.00
1830,Getaway Inn,75000,80,300000.00
1832,Downhill Bicycle Specialists,77000,81,300000.00
1834,Bike Experts,73000,82,300000.00
1836,Extraordinary Bike Works,75000,83,300000.00
1838,Valley Bicycle Distributors,76000,84,300000.00
1840,Top Sports Supply,78000,85,300000.00
1842,Racing Sales and Service,77000,86,300000.00
1844,Metropolitan Bicycle Supply,78000,87,300000.00
1846,Honest Repair Service,77000,88,300000.00
1848,Designer Department Stores,74000,89,300000.00
1850,Wheel Gallery,79000,90,300000.00
1852,Top Bike Market,75000,80,300000.00
1854,Region Bike Company,75000,81,300000.00
1856,Grown-up Bike Store,75000,82,300000.00
1858,Bicycle Lines Distributors,77000,83,300000.00
1860,Sparkling Paint and Finishes,76000,84,300000.00
1862,Racing Association,76000,85,300000.00
1864,Plastic Parts Company,76000,86,300000.00
1866,Gears and Parts Company,74000,87,300000.00
1868,Executive Gift Store,76000,88,300000.00
1870,Big Cycle Mall,77000,89,300000.00
1872,Budget Bike Company,22000,18,80000.00
1874,Eighth Bike Store,21000,19,80000.00
1876,Demand Distributors,24000,20,100000.00
1878,Immediate Repair Shop,22000,17,80000.00
1880,Off-Price Bike Center,22000,14,80000.00
1882,Red Bicycle Company,18000,11,80000.00
1884,Retirement Activities Association,11000,8,30000.00
1886,Trendy Department Stores,9000,5,30000.00
1888,Vintage Sport Boutique,9000,2,30000.00
1890,Travel Sports,18000,17,80000.00
1892,West Side Mart,19000,18,80000.00
1894,The Bike Outlet,21000,19,80000.00
1896,Tenth Bike Store,23000,18,80000.00
1898,Valuable Bike Parts Company,20000,16,80000.00
1900,Fun Times Club,22000,14,80000.00
1902,Chain and Chain Tool Distributions,20000,12,80000.00
1904,Mobile Outlet,17000,10,80000.00
1906,Regional Cycle Shop,10000,8,30000.00
1908,Rural Bicycle Supply,10000,6,30000.00
1910,Wingtip Toys,20000,15,80000.00
1912,The Cycle Store,22000,16,80000.00
1914,Educational Services,19000,17,80000.00
1916,Active Life Toys,20000,18,80000.00
1918,Simple Bike Parts,21000,19,80000.00
1920,Timely Shipping Service,24000,20,100000.00
1922,A Cycle Shop,22000,17,80000.00
1924,Bike Products and Accessories,19000,14,80000.00
1926,Fitness Toys,21000,11,80000.00
1928,Quick Parts and Service,7000,5,30000.00
1930,Reliable Brake Systems,7000,6,30000.00
1932,Thrifty Parts and Sales,8000,7,30000.00
1934,A Typical Bike Shop,8000,8,30000.00
1936,Active Transport Inc.,8000,9,30000.00
1938,Cycle Parts and Accessories,20000,10,80000.00
1940,Fasteners & Bolts Outlet,18000,11,80000.00
1942,Functional Store North,19000,12,80000.00
1944,Quantity Discounts,19000,13,80000.00
1946,Swift Cycles,22000,14,80000.00
1948,Classic Cycle Store,22000,15,80000.00
1950,"Helpful Sales and Repair Service ",19000,16,80000.00
1952,Large Bike Shop,19000,17,80000.00
1954,Recreation Supplies,22000,18,80000.00
1956,Wire Baskets and Parts,19000,19,80000.00
1958,Ultimate Bicycle Company,78000,94,300000.00
1960,Sports Store,76000,95,300000.00
1962,Metropolitan Equipment,78000,96,300000.00
1964,Extended Tours,78000,97,300000.00
1966,Convenient Sales and Service,77000,98,300000.00
1968,Solid Bike Parts,77000,99,300000.00
1970,Permanent Finish Products,79000,100,300000.00
1972,Mercantile Outlet,71000,66,300000.00
1974,Links Works,39000,40,150000.00
1976,Exhilarating Cycles,40000,43,150000.00
1978,Exercise Center,23000,19,80000.00
1980,Great Bicycle Supply,27000,20,100000.00
1982,Mail-Order Outlet,18000,17,80000.00
1984,Nearby Cycle Shop,20000,14,80000.00
1986,Recreation Toy Store,17000,11,80000.00
1988,Retreat Inn,7000,8,30000.00
1990,Technical Parts Manufacturing,7000,5,30000.00
1992,Totes & Baskets Company,6000,2,30000.00
1994,World of Bikes,19000,17,80000.00
2051,A Bicycle Association,19000,18,80000.00
